Area Type,Availability,Location,Size,Society,Total Sqft,Bathrooms,Balcony,Price,flag_status
Super Built-Up Area,Ready To Move,Seetharampalya,2 Bhk,Arierpr,1250,2.0,2.0,90.0,4
Super Built-Up Area,19-Dec,Chandapura,2 Bhk,Suvue S,1025,2.0,2.0,27.68,4
Super Built-Up Area,Ready To Move,Yelahanka,3 Bhk,Grrvagr,1075,2.0,2.0,36.0,4
Super Built-Up Area,Ready To Move,High Grounds,3 Bhk,Grrvagr,1900,2.0,2.0,190.0,4
Built-Up Area,Ready To Move,Whitefield,3 Bhk,Jahansa,1435,3.0,2.0,45.0,4
Super Built-Up Area,18-Dec,Electronics City Phase 1,2 Bhk,Shitt S,1175,2.0,2.0,64.98,4
Built-Up Area,Ready To Move,Doddabidrakallu,2 Bhk,Lants A,900,2.0,1.0,33.0,4
Super Built-Up Area,Ready To Move,Electronics City Phase 1,1 Bhk,Grrvagr,585,1.0,1.0,21.0,0
Plot Area,Ready To Move,Jigani,4 Bedroom,Prllasw,3170,5.0,2.0,230.0,4
Super Built-Up Area,18-May,Shanti Nagar,3 Bhk,Ubreean,1602,2.0,1.0,170.0,4
Super Built-Up Area,Ready To Move,Thanisandra,2 Bhk,Menueno,1220,2.0,2.0,42.0,4
Super Built-Up Area,Ready To Move,Rajaji Nagar,3 Bhk,Pheston,2500,3.0,3.0,350.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Adeatlm,2145,3.0,3.0,180.0,4
Super Built-Up Area,Ready To Move,Bannerghatta Road,2 Bhk,Snity S,960,2.0,3.0,58.0,4
Super Built-Up Area,Ready To Move,Ngr Layout,1 Bhk,Dsestre,907,1.0,1.0,38.0,0
Super Built-Up Area,Ready To Move,Old Madras Road,2 Bhk,Brglede,1210,2.0,1.0,74.0,4
Plot Area,Ready To Move,Kammanahalli,4 Bedroom,Grrvagr,900,4.0,1.0,150.0,4
Super Built-Up Area,Ready To Move,Jnana Ganga Nagar,2 Bhk,Slestde,1230,2.0,2.0,70.0,4
Super Built-Up Area,Ready To Move,5Th Phase Jp Nagar,3 Bhk,Mbalero,1350,2.0,1.0,75.0,4
Super Built-Up Area,Ready To Move,Kenchenahalli,2 Bhk,Unateit,1150,2.0,2.0,58.0,4
Super Built-Up Area,19-Apr,Sarjapur,3 Bhk,Cldiaar,1404,2.0,0.0,53.35,4
Super Built-Up Area,Ready To Move,Ombr Layout,2 Bhk,Grrvagr,1050,2.0,3.0,48.0,4
Plot Area,Ready To Move,Kothanur,8 Bedroom,Grrvagr,1020,10.0,0.0,155.0,4
Super Built-Up Area,Ready To Move,Yelahanka,2 Bhk,Hotat H,1285,2.0,2.0,56.0,4
Super Built-Up Area,Ready To Move,Hormavu,2 Bhk,Arureig,1018,2.0,1.0,50.8,4
Plot Area,Ready To Move,Hoskote,3 Bedroom,Grrvagr,1200,3.0,2.0,57.0,4
Super Built-Up Area,Ready To Move,Ejipura,3 Bhk,Dsidsrc,1600,3.0,3.0,95.0,4
Super Built-Up Area,21-Sep,9Th Phase Jp Nagar,2 Bhk,Vasisvi,1480,2.0,1.0,80.0,4
Built-Up Area,Ready To Move,Kodichikkanahalli,5 Bedroom,Grrvagr,2500,7.0,0.0,125.0,4
Built-Up Area,Ready To Move,Kaval Byrasandra,1 Bhk,Grrvagr,480,1.0,1.0,25.0,0
Super Built-Up Area,Ready To Move,Akshaya Nagar,3 Bhk,Madgeer,1435,3.0,3.0,53.0,4
Built-Up Area,Ready To Move,Lingarajapuram,1 Bhk,Grrvagr,450,1.0,2.0,60.0,0
Super Built-Up Area,Ready To Move,Austin Town,1 Bhk,Grrvagr,600,2.0,0.0,23.0,4
Super Built-Up Area,Ready To Move,Cv Raman Nagar,3 Bhk,Chhamku,1590,2.0,3.0,85.0,4
Plot Area,Immediate Possession,Hoskote,2 Bhk,Sjowsn,800 - 2660,2.0,2.0,28.545,4
Built-Up Area,Ready To Move,Nagavara,2 Bhk,Grrvagr,936,2.0,0.0,40.2,4
Super Built-Up Area,Ready To Move,Banashankari,2 Bhk,Grrvagr,1181,2.0,1.0,75.0,4
Super Built-Up Area,18-Apr,Kengeri,3 Bhk,Liwerun,1741,3.0,2.0,80.0,4
Super Built-Up Area,19-Dec,Jp Nagar,3 Bhk,Shestut,1750,3.0,1.0,123.0,4
Super Built-Up Area,Ready To Move,Varthur Road,2 Bhk,Grrvagr,1050,2.0,2.0,42.7,4
Super Built-Up Area,17-Dec,Tumkur Road,2 Bhk,Sahtsva,1027,2.0,1.0,60.0,4
Built-Up Area,Ready To Move,Geleyara Balaga Layout,2 Bhk,Jahtsa,596,2.0,1.0,22.0,4
Built-Up Area,Ready To Move,Dollar Scheme Colony,4 Bhk,Vacesi,3463,6.0,0.0,310.0,4
Built-Up Area,Ready To Move,Sector 2 Hsr Layout,3 Bhk,Grrvagr,1600,3.0,2.0,70.0,4
Super Built-Up Area,Ready To Move,Sahakara Nagar,2 Bhk,Arrdsor,1000,2.0,1.0,60.0,4
Super Built-Up Area,18-Apr,Varthur,2 Bhk,Muistry,1120,2.0,2.0,44.24,4
Plot Area,Ready To Move,Jinkethimmanahalli,2 Bedroom,Grrvagr,1200,2.0,0.0,85.0,4
Super Built-Up Area,18-Jun,Kothnoor Dinne,2 Bhk,Grrvagr,1200,2.0,2.0,35.0,4
Super Built-Up Area,Ready To Move,Kasturi Nagar,3 Bhk,Goratar,1570,3.0,2.0,110.0,4
Super Built-Up Area,Ready To Move,Koramangala,3 Bhk,Ansna K,1500,3.0,1.0,135.0,4
Built-Up Area,Ready To Move,Frazer Town,2 Bhk,Elrisnt,1315,2.0,2.0,140.0,4
Super Built-Up Area,18-Apr,Electronic City Phase Ii,2 Bhk,Sryalan,1140,2.0,1.0,33.84,4
Super Built-Up Area,Ready To Move,Banashankari,2 Bhk,Goeesem,1105,2.0,2.0,90.0,4
Built-Up Area,18-Dec,Electronic City,2 Bhk,Grrvagr,1200,2.0,1.0,34.65,4
Super Built-Up Area,18-Dec,Whitefield,1 Bhk,Prtates,905,1.0,1.0,62.0,0
Plot Area,Ready To Move,Hsr Layout,4 Bedroom,Grrvagr,2400,4.0,0.0,350.0,4
Super Built-Up Area,Ready To Move,Kudlu Gate,2 Bhk,Sreafin,1185,2.0,1.0,50.0,4
Super Built-Up Area,Ready To Move,Koramangala,2 Bhk,Grrvagr,1083,2.0,1.0,100.0,4
Super Built-Up Area,Ready To Move,Rayasandra,3 Bhk,Amlisai,1458,3.0,2.0,60.0,4
Super Built-Up Area,Ready To Move,Hormavu,3 Bhk,Undraro,1555,3.0,2.0,75.0,4
Built-Up Area,Ready To Move,Devi Nagar,2 Bhk,Deiten,1200,2.0,2.0,45.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,2 Bhk,Sjityaz,1308,2.0,1.0,58.86,4
Super Built-Up Area,Ready To Move,Kudlu,2 Bhk,Srrnasa,1024,2.0,2.0,44.0,4
Super Built-Up Area,Ready To Move,Kanakapura,3 Bhk,Grrvagr,1450,3.0,1.0,75.0,4
Super Built-Up Area,Ready To Move,Seegehalli,3 Bhk,Niowshi,1639,3.0,3.0,120.0,4
Super Built-Up Area,18-Oct,Hennur Road,2 Bhk,Puachal,1232,2.0,1.0,87.0,4
Super Built-Up Area,Ready To Move,Kasavanhalli,3 Bhk,Salisal,1719,3.0,1.0,184.0,4
Super Built-Up Area,18-May,Chandapura,2 Bhk,Suncees,975,2.0,1.0,24.86,4
Super Built-Up Area,Ready To Move,New Gurappana Palya,3 Bhk,Grrvagr,2000,4.0,2.0,130.0,4
Super Built-Up Area,Ready To Move,Jakkur,2 Bhk,Brdgeno,1230,2.0,1.0,79.0,4
Plot Area,Ready To Move,Guddadahalli,4 Bedroom,Grrvagr,1350,4.0,2.0,140.0,4
Super Built-Up Area,Ready To Move,Kr Puram,2 Bhk,Grrvagr,1076,2.0,2.0,67.0,4
Built-Up Area,Ready To Move,Kumaraswami Layout,7 Bedroom,Grrvagr,2400,7.0,1.0,125.0,4
Super Built-Up Area,Ready To Move,Vasanthpura,3 Bhk,Grrvagr,995,2.0,2.0,34.82,4
Super Built-Up Area,Ready To Move,Kodigehaali,3 Bhk,Leeno S,2120,3.0,2.0,177.0,4
Plot Area,Ready To Move,Kasthuri Nagar East Of Ngef,6 Bedroom,Grrvagr,2400,7.0,2.0,460.0,4
Plot Area,Ready To Move,Chikka Gowdanapalya.,6 Bedroom,Grrvagr,850,6.0,2.0,78.0,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Sravesl,1096,2.0,2.0,40.55,4
Super Built-Up Area,Ready To Move,Horamavu Agara,2 Bhk,Maows M,1107.83,2.0,1.0,41.51,4
Built-Up Area,Ready To Move,Chamrajpet,1 Bhk,Grrvagr,505,1.0,0.0,85.0,0
Super Built-Up Area,Ready To Move,Sarjapur Road,2 Bhk,Adeatlm,1320,2.0,2.0,115.0,4
Super Built-Up Area,19-Mar,8Th Phase Jp Nagar,3 Bhk,Vaarech,1408 - 1455,3.0,0.0,72.02,4
Super Built-Up Area,18-Feb,Whitefield,2 Bhk,Brlisco,1320,2.0,1.0,99.26,4
Super Built-Up Area,Ready To Move,Whitefield,3 Bhk,Haestt,2901,4.0,2.0,190.0,4
Built-Up Area,Ready To Move,Gm Palaya,3 Bhk,Scsta V,1315,2.0,2.0,65.0,4
Super Built-Up Area,Ready To Move,Vgp Layout,2 Bhk,Manha M,1000,2.0,1.0,44.0,4
Super Built-Up Area,Ready To Move,Hosakerehalli,3 Bhk,Apncyla,1596,3.0,3.0,79.8,4
Super Built-Up Area,Ready To Move,Bannerghatta Road,3 Bhk,Hiate F,1750,3.0,2.0,130.0,4
Plot Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2403,4.0,2.0,270.0,4
Super Built-Up Area,20-Dec,Old Madras Road,3 Bhk,Shmes O,1350,3.0,2.0,47.25,4
Super Built-Up Area,Ready To Move,Old Madras Road,4 Bhk,Saciatt,4050 - 4075,2.0,2.0,341.0,4
Super Built-Up Area,18-Jul,"Tr Mill Road, Chamarajpet",2 Bhk,Grrvagr,1175,2.0,2.0,79.0,4
Super Built-Up Area,Ready To Move,Talaghattapura,2 Bhk,Grrvagr,921,2.0,1.0,29.47,4
Built-Up Area,Ready To Move,Malleshwaram,4 Bedroom,Grrvagr,4000,4.0,2.0,1100.0,4
Super Built-Up Area,Ready To Move,Sultan Palaya,3 Bhk,Vaaldak,1713,3.0,3.0,125.0,4
Built-Up Area,Ready To Move,Ittamadu,2 Bhk,Arnts A,1200,2.0,0.0,43.0,4
Built-Up Area,Ready To Move,8Th Phase Jp Nagar,3 Bedroom,Grrvagr,1900,4.0,1.0,90.0,4
Super Built-Up Area,Ready To Move,Kudlu Gate,3 Bhk,Grrvagr,1664,3.0,2.0,68.0,4
Super Built-Up Area,19-Dec,Binny Pete,3 Bhk,She 2Rk,1795,3.0,2.0,139.0,4
Built-Up Area,Ready To Move,Kereguddadahalli,1 Bhk,Inave R,600,1.0,1.0,19.5,0
Built-Up Area,Ready To Move,Hoodi,2 Bhk,Grrvagr,1240,2.0,3.0,65.0,4
Super Built-Up Area,Ready To Move,Hegde Nagar,3 Bhk,Soitaca,1965,4.0,2.0,132.0,4
Plot Area,Ready To Move,Vishveshwarya Layout,3 Bedroom,Grrvagr,600,4.0,0.0,99.0,4
Plot Area,Ready To Move,Sarjapur,4 Bedroom,Grrvagr,4111,4.0,1.0,370.0,4
Super Built-Up Area,19-Dec,Electronics City Phase 1,2 Bhk,Shitt S,1200,2.0,2.0,59.76,4
Super Built-Up Area,Ready To Move,Ganga Nagar,2 Bhk,Grrvagr,1112,2.0,3.0,68.0,4
Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,3 Bhk,Grrvagr,3000,3.0,2.0,60.0,4
Super Built-Up Area,Ready To Move,Mahadevpura,2 Bhk,Grrvagr,1136,2.0,3.0,64.5,4
Super Built-Up Area,Ready To Move,Jigani,2 Bhk,Dlhtsan,914,2.0,2.0,55.0,4
Super Built-Up Area,Ready To Move,Poorna Pragna Layout,3 Bhk,Grrvagr,1270,2.0,1.0,50.79,4
Super Built-Up Area,Ready To Move,Rachenahalli,2 Bhk,Grrvagr,1050,2.0,2.0,47.25,4
Super Built-Up Area,Ready To Move,Marathahalli,3 Bhk,Grrvagr,1385,2.0,2.0,68.5,4
Super Built-Up Area,Ready To Move,Medahalli,2 Bhk,Grrvagr,990,2.0,3.0,35.0,4
Built-Up Area,Ready To Move,Yelahanka,2 Bhk,Grrvagr,845,2.0,2.0,43.0,4
Super Built-Up Area,20-Sep,Whitefield,2 Bhk,Goted U,1485,2.0,1.0,96.51,4
Super Built-Up Area,Ready To Move,Kanakapura,3 Bhk,Spavenc,1460,2.0,3.0,43.79,4
Super Built-Up Area,Ready To Move,Thanisandra,2 Bhk,Tnrdet,1450,2.0,1.0,57.0,4
Built-Up Area,Ready To Move,Hsr Layout,3 Bhk,B Ncysi,1360,2.0,1.0,53.0,4
Built-Up Area,Ready To Move,Singasandra,2 Bhk,Grrvagr,1375,2.0,3.0,58.0,4
Super Built-Up Area,Ready To Move,Uttarahalli,2 Bhk,Aklia R,1125,2.0,1.0,48.0,4
Super Built-Up Area,Ready To Move,Banashankari,1 Bhk,Grrvagr,720,1.0,1.0,60.0,0
Super Built-Up Area,Ready To Move,7Th Phase Jp Nagar,3 Bhk,Brnia G,1460,2.0,2.0,100.0,4
Built-Up Area,Ready To Move,Green View Layout,2 Bhk,Makeser,1107,2.0,2.0,40.0,4
Built-Up Area,Ready To Move,Maruthi Nagar,2 Bhk,Grrvagr,1158,2.0,3.0,75.0,4
Super Built-Up Area,Ready To Move,Yelachenahalli,2 Bhk,Grrvagr,800,1.0,1.0,30.0,0
Plot Area,Ready To Move,Sector 2 Hsr Layout,9 Bedroom,Ncdgerj,600,9.0,2.0,90.0,4
Super Built-Up Area,Ready To Move,Bhoganhalli,3 Bhk,Pride S,1760,3.0,2.0,128.0,4
Plot Area,Ready To Move,Nandi Hills,4 Bedroom,Grrvagr,3200,4.0,2.0,200.0,4
Plot Area,17-Dec,Hal 2Nd Stage,2 Bedroom,Grrvagr,600,3.0,2.0,145.0,4
Built-Up Area,Ready To Move,Tc Palaya,3 Bedroom,Grrvagr,1350,3.0,1.0,60.0,4
Plot Area,Ready To Move,Giri Nagar,6 Bedroom,Grrvagr,600,6.0,3.0,100.0,4
Built-Up Area,18-Dec,Huskur,2 Bhk,Grrvagr,1125,2.0,1.0,32.49,4
Super Built-Up Area,Ready To Move,Frazer Town,3 Bhk,Grrvagr,1706,3.0,3.0,154.0,4
Super Built-Up Area,Ready To Move,Btm Layout,3 Bhk,Pancypr,1600,3.0,2.0,112.0,4
Super Built-Up Area,Ready To Move,Ramesh Nagar,2 Bhk,Grrvagr,1200,2.0,0.0,90.0,4
Super Built-Up Area,Ready To Move,Whitefield,3 Bhk,Gotis A,1755,3.0,3.0,101.0,4
Super Built-Up Area,Ready To Move,Hulimavu,2 Bhk,Chtali,1200,2.0,1.0,50.0,4
Super Built-Up Area,Ready To Move,Beml Layout,2 Bhk,Grrvagr,1200,2.0,2.0,67.0,4
Super Built-Up Area,Ready To Move,Chokkanahalli,2 Bhk,Grhtisr,1266.67,2.0,0.0,69.0,4
Super Built-Up Area,Ready To Move,Kariyammana Agrahara,3 Bhk,Grrvagr,1800,3.0,2.0,90.0,4
Plot Area,Ready To Move,Sector 7 Hsr Layout,3 Bedroom,Grrvagr,1200,4.0,1.0,275.0,4
Super Built-Up Area,22-Dec,2Nd Phase Judicial Layout,3 Bhk,Grrvagr,1300,3.0,2.0,64.0,4
Plot Area,Ready To Move,Nirman Layout,3 Bedroom,Grrvagr,800,3.0,3.0,60.0,4
Plot Area,Ready To Move,Whitefield,4 Bedroom,Pronege,4800,5.0,2.0,550.0,4
Super Built-Up Area,18-May,Mysore Road,2 Bhk,Brama P,942 - 1117,2.0,0.0,50.855,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,2 Bhk,Grrvagr,1128,2.0,2.0,40.0,4
Plot Area,Ready To Move,Ns Palya,2 Bedroom,Grrvagr,2000,2.0,1.0,160.0,4
Super Built-Up Area,18-Mar,Panathur,2 Bhk,Grrvagr,1210,2.0,1.0,80.0,4
Super Built-Up Area,18-Jul,Arekere,4 Bhk,Rrnumn,2710,6.0,2.0,142.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,2 Bhk,Grrvagr,1151,2.0,2.0,39.0,4
Super Built-Up Area,19-Jan,Rajaji Nagar,5 Bhk,Grrvagr,7500,8.0,3.0,1700.0,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Sriewgr,1017,2.0,2.0,27.0,4
Built-Up Area,Ready To Move,Sarjapur Road,2 Bhk,Srncy R,920,2.0,1.0,40.0,4
Plot Area,Ready To Move,Hrbr Layout,4 Bedroom,Grrvagr,1200,3.0,1.0,180.0,4
Plot Area,Ready To Move,Nyanappana Halli,5 Bedroom,Grrvagr,1000,5.0,2.0,140.0,4
Super Built-Up Area,Ready To Move,Munnekollal,3 Bhk,Dsalehn,1750,3.0,3.0,86.5,4
Built-Up Area,Ready To Move,Dasanapura,2 Bhk,Tavenew,1163,2.0,1.0,65.0,4
Super Built-Up Area,Ready To Move,7Th Phase Jp Nagar,3 Bhk,Brnia G,1650,3.0,3.0,110.0,4
Super Built-Up Area,Ready To Move,Kundalahalli Colony,3 Bhk,Goourta,1800,3.0,3.0,95.0,4
Super Built-Up Area,Ready To Move,Cv Raman Nagar,2 Bhk,Ratrana,1100,2.0,1.0,58.0,4
Built-Up Area,Ready To Move,R.T. Nagar,2 Bhk,Grrvagr,1200,2.0,2.0,60.0,4
Super Built-Up Area,Ready To Move,Ganga Nagar,3 Bhk,Psdenga,1410,3.0,2.0,65.0,4
Super Built-Up Area,19-Jun,Begur Road,3 Bhk,Grrvagr,1933,3.0,2.0,98.0,4
Super Built-Up Area,Ready To Move,Begur Road,2 Bhk,Dhalsh,1200,2.0,2.0,45.6,4
Super Built-Up Area,Ready To Move,Whitefield,3 Bhk,Bmttaor,1608,2.0,3.0,63.0,4
Plot Area,Ready To Move,Jakkasandra Extension,4 Bedroom,Grrvagr,2679,5.0,2.0,280.0,4
Super Built-Up Area,Ready To Move,Horamavu Banaswadi,2 Bhk,Grrvagr,1156,2.0,2.0,46.9,4
Plot Area,18-Mar,T.C Palya,2 Bedroom,Grrvagr,1230,2.0,0.0,75.0,4
Super Built-Up Area,Ready To Move,Kasavanhalli,1 Bhk,Srire S,770,1.0,1.0,43.82,0
Super Built-Up Area,Ready To Move,Ardendale,3 Bhk,Soystam,1777.26,3.0,2.0,105.0,4
Super Built-Up Area,Ready To Move,Kanakpura Road,2 Bhk,Puandhi,1339,2.0,2.0,85.0,4
Built-Up Area,18-Mar,Sarjapur Road,3 Bedroom,Grrvagr,3044,3.0,2.0,183.0,4
Built-Up Area,Ready To Move,Chennappa Layout,2 Bhk,Mawerer,1080,2.0,2.0,44.8,4
Carpet Area,Ready To Move,Doddabommasandra,8 Bedroom,Grrvagr,3150,5.0,2.0,145.0,4
Plot Area,Ready To Move,Nagadevanahalli,2 Bedroom,Grrvagr,2400,2.0,2.0,135.0,4
Built-Up Area,Ready To Move,Hulimavu,3 Bhk,Srise P,1450,3.0,3.0,72.0,4
Super Built-Up Area,18-Mar,Kothanur,2 Bhk,Grrvagr,1075,2.0,2.0,53.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Mjinele,1163,2.0,2.0,62.0,4
Built-Up Area,Ready To Move,Tc Palaya,2 Bedroom,Grrvagr,1200,2.0,0.0,65.0,4
Plot Area,Ready To Move,Kattigenahalli,8 Bedroom,Grrvagr,1200,8.0,1.0,135.0,4
Plot Area,Ready To Move,Marathahalli,4 Bedroom,Grrvagr,3090,4.0,2.0,325.0,4
Built-Up Area,Ready To Move,Hebbal,2 Bhk,Prersis,1299,2.0,1.0,100.0,4
Super Built-Up Area,Ready To Move,Hrbr Layout,2 Bhk,Grrvagr,1170,2.0,2.0,75.0,4
Super Built-Up Area,18-Mar,Jp Nagar,3 Bhk,Shestut,1750 - 2640,2.0,2.0,152.0,4
Super Built-Up Area,Ready To Move,Yelahanka,4 Bhk,Ncs 2Rj,2600,4.0,3.0,175.0,4
Super Built-Up Area,Ready To Move,Kr Puram,2 Bhk,Lvniaar,1140,2.0,1.0,43.32,4
Super Built-Up Area,Ready To Move,Kanakpura Road,3 Bhk,Goelsn,1900,3.0,3.0,125.0,4
Built-Up Area,18-Jul,Bommasandra Industrial Area,2 Bhk,Grrvagr,1090,2.0,1.0,31.48,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Ycnce R,1110,2.0,1.0,39.95,4
Super Built-Up Area,18-Jan,Nagavarapalya,1 Bhk,Puonsse,705,1.0,1.0,57.0,0
Super Built-Up Area,Ready To Move,Hbr Layout,2 Bhk,Visom B,1089,2.0,1.0,60.0,4
Plot Area,Ready To Move,Tc.Palya,2 Bedroom,Grrvagr,880,2.0,1.0,48.0,4
Built-Up Area,Ready To Move,Kereguddadahalli,2 Bhk,Jaood G,1080,2.0,2.0,32.0,4
Super Built-Up Area,18-Feb,Thanisandra,2 Bhk,Bhmesy,1093,2.0,1.0,68.1,4
Super Built-Up Area,18-Oct,Banashankari Stage Iii,3 Bhk,Grrvagr,1480,3.0,1.0,75.48,4
Super Built-Up Area,Ready To Move,Hegde Nagar,3 Bhk,Soiniy,1703,3.0,2.0,125.0,4
Super Built-Up Area,Ready To Move,Hebbal,2 Bhk,Srntsha,1200,2.0,1.0,60.0,4
Super Built-Up Area,Ready To Move,Marathahalli,3 Bhk,Asintas,1690,3.0,2.0,116.0,4
Super Built-Up Area,Ready To Move,Yelahanka,2 Bhk,Shana S,1305,2.0,1.0,78.0,4
Super Built-Up Area,18-Sep,Talaghattapura,3 Bhk,Grrvagr,1257,2.0,2.0,40.22,4
Super Built-Up Area,Ready To Move,Subash Nagar,2 Bhk,Grrvagr,1150,2.0,2.0,45.0,4
Super Built-Up Area,Ready To Move,Stage-4 Bommanahalli,2 Bhk,Pantsce,1194,2.0,0.0,55.0,4
Built-Up Area,Ready To Move,Chokkahalli,3 Bedroom,Grrvagr,2000,3.0,1.0,90.0,4
Plot Area,Ready To Move,Anekal,3 Bedroom,Grrvagr,1500,4.0,1.0,99.0,4
Built-Up Area,Ready To Move,Bellari Road,2 Bhk,Grrvagr,1025,2.0,0.0,42.5,4
Built-Up Area,Ready To Move,Horamavu Agara,2 Bhk,Grrvagr,980,2.0,1.0,38.19,4
Plot Area,Ready To Move,Hosakerehalli,3 Bedroom,Grrvagr,1200,2.0,1.0,100.0,4
Super Built-Up Area,Ready To Move,Whitefield,3 Bhk,Uke 2Nz,2225,3.0,1.0,149.0,4
Super Built-Up Area,Ready To Move,Ashirvad Colony,2 Bhk,Oce 1Nd,1022,2.0,2.0,57.0,4
Plot Area,Ready To Move,Sidedahalli,4 Bedroom,Grrvagr,882,3.0,0.0,72.0,4
Built-Up Area,Ready To Move,Narayanapura,2 Bhk,Shsom B,1153,2.0,2.0,45.0,4
Super Built-Up Area,Ready To Move,Pai Layout,2 Bhk,Grrvagr,1175,2.0,2.0,60.0,4
Built-Up Area,Ready To Move,Vidyaranyapura,3 Bhk,Suent A,1560,3.0,3.0,68.0,4
Built-Up Area,Ready To Move,Yelahanka New Town,1 Bhk,Grrvagr,650,1.0,1.0,17.0,0
Plot Area,Ready To Move,Vishwapriya Nagar,3 Bedroom,Grrvagr,600,3.0,2.0,65.0,4
Super Built-Up Area,Ready To Move,Billekahalli,2 Bhk,Bancyre,1350,3.0,2.0,55.0,4
Plot Area,Ready To Move,Akshya Nagar,2 Bedroom,Grrvagr,1200,2.0,1.0,76.0,4
Super Built-Up Area,Ready To Move,Telecom Layout,2 Bhk,Grrvagr,1200,1.0,1.0,54.0,0
Super Built-Up Area,Ready To Move,Chandapura,2 Bhk,Arhid O,800,2.0,1.0,25.0,4
Super Built-Up Area,20-Dec,Electronic City,4 Bhk,Konteit,2093,4.0,1.0,104.0,4
Super Built-Up Area,18-Oct,Uttarahalli,3 Bhk,Grrvagr,1320,2.0,2.0,55.44,4
Super Built-Up Area,Ready To Move,Bannerghatta Road,2 Bhk,Snity S,1275,2.0,1.0,73.0,4
Super Built-Up Area,Ready To Move,Begur Road,2 Bhk,Dhalsh,1215,2.0,2.0,43.13,4
Super Built-Up Area,Ready To Move,Begur Road,3 Bhk,Mjilayl,1444,2.0,2.0,71.5,4
Super Built-Up Area,Ready To Move,Vikram Nagar,2 Bhk,Ranorar,950,2.0,2.0,38.0,4
Super Built-Up Area,Ready To Move,Padmanabhanagar,2 Bhk,Grrvagr,1000,1.0,2.0,90.0,0
Super Built-Up Area,Ready To Move,Banashankari Stage Ii,3 Bhk,Grrvagr,1240,2.0,2.0,59.52,4
Plot Area,Ready To Move,2Nd Stage Nagarbhavi,4 Bedroom,Grrvagr,600,4.0,2.0,125.0,4
Super Built-Up Area,Ready To Move,Hennur,2 Bhk,Adity T,1231,2.0,2.0,50.0,4
Super Built-Up Area,Ready To Move,Benson Town,2 Bhk,Grrvagr,1300,2.0,1.0,120.0,4
Super Built-Up Area,18-Aug,Yeshwanthpur,3 Bhk,Aroomba,1713,3.0,2.0,110.0,4
Built-Up Area,Ready To Move,Sarjapur Road,3 Bedroom,Azthebr,3004,4.0,2.0,158.0,4
Built-Up Area,Ready To Move,Sonnenahalli,3 Bhk,Dsgam S,1310,2.0,0.0,46.0,4
Super Built-Up Area,Ready To Move,Jalahalli,2 Bhk,Kuownri,790,2.0,1.0,49.5,4
Super Built-Up Area,Ready To Move,Koramangala,3 Bhk,Proodt,1744,3.0,1.0,200.0,4
Super Built-Up Area,Ready To Move,Amblipura,3 Bhk,Grrvagr,1605,3.0,2.0,100.0,4
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Gotis A,1250,2.0,2.0,82.0,4
Super Built-Up Area,Ready To Move,Malleshwaram,3 Bhk,Sariaat,2476,3.0,3.0,337.0,4
Built-Up Area,Ready To Move,Subramanyapura,3 Bhk,Mayne A,1260,2.0,2.0,76.0,4
Super Built-Up Area,18-Aug,Rajaji Nagar,3 Bhk,Prodswe,1615,3.0,1.0,175.0,4
Super Built-Up Area,Ready To Move,Yelahanka,2 Bhk,Grrvagr,1180,2.0,1.0,56.0,4
Super Built-Up Area,Ready To Move,Uttarahalli,3 Bhk,Grrvagr,1255,2.0,2.0,50.19,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Gmown E,1025,2.0,1.0,53.9,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Puallhi,1877,4.0,2.0,150.0,4
Built-Up Area,Ready To Move,Lakshminarayana Pura,3 Bhk,Rothava,1649,3.0,2.0,150.0,4
Plot Area,Ready To Move,5Th Block Hbr Layout,9 Bedroom,Grrvagr,2600,12.0,2.0,675.0,4
Built-Up Area,Ready To Move,Hennur,5 Bedroom,Grrvagr,2500,5.0,2.0,125.0,4
Built-Up Area,Ready To Move,Doddakammanahalli,3 Bhk,Grrvagr,1542,3.0,2.0,98.0,4
Built-Up Area,Ready To Move,Sarvabhouma Nagar,2 Bhk,Bhncyre,1012,2.0,0.0,42.0,4
Plot Area,Ready To Move,Chandapura,2 Bedroom,Grrvagr,1200,2.0,1.0,65.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,2 Bhk,Grrvagr,1115,2.0,2.0,43.0,4
Super Built-Up Area,Ready To Move,Green Glen Layout,3 Bhk,Vvbhion,1680,4.0,3.0,95.0,4
Super Built-Up Area,Ready To Move,Old Madras Road,2 Bhk,Saesttt,1171,2.0,2.0,72.0,4
